store_id,sku,product_name,price,date
STORE_001,SKU-ALM-500G,Almonds 500g,399.00,2026-04-25
STORE_001,SKU-CSH-500G,Cashews 500g,549.00,2026-04-25
STORE_002,SKU-RSN-1KG,Raisins 1kg,329.50,2026-04-26
STORE_002,SKU-DTE-500G,Dates 500g,279.00,2026-04-26
STORE_003,SKU-WAL-250G,Walnuts 250g,299.00,2026-04-27
STORE_003,SKU-PST-200G,Pistachios 200g,499.00,2026-04-27
STORE_001,SKU-MIX-1KG,Mixed Dry Fruits 1kg,799.00,2026-04-28
STORE_004,SKU-APR-500G,Dried Apricots 500g,659.00,2026-04-28
STORE_004,SKU-FIG-250G,Dried Figs 250g,349.00,2026-04-29
STORE_002,SKU-CRN-500G,Dried Cranberries 500g,469.00,2026-04-29
